nama,provinsi,kota,kategori,rating,latitude,longitude,deskripsi,harga
Pantai Lombok,Nusa Tenggara Barat,Lombok Utara,Pantai,4.6,-8.3500,116.3667,Pantai eksotis dengan pasir putih halus,0
Museum Olahraga,DKI Jakarta,Jakarta Selatan,Museum,4.0,-6.2217,106.8060,Museum sejarah olahraga Indonesia,15000
Desa Wisata Tinalah,Jawa Tengah,Sukoharjo,Desa Wisata,4.2,-7.5667,110.8333,Desa wisata dengan pengalaman autentik,0
Gunung Rinjani,Nusa Tenggara Barat,Lombok Utara,Gunung,4.9,-8.4058,116.4628,Gunung tertinggi NTB dengan segoro anak,0
Taman Laut Menjangan,Bali,Buleleng,Taman Laut,4.7,-8.1500,114.5333,Taman laut dengan reef berkualitas tinggi,40000
Candi Kalasan,Jawa Tengah,Sleman,Candi,4.5,-7.7667,110.5000,Candi Buddha stupa bentuk unik,25000
Museum Topeng,DKI Yogyakarta,Yogyakarta,Museum,4.1,-7.7983,110.4150,Museum koleksi topeng tradisional nusantara,20000
Pantai Amed,Bali,Karangasem,Pantai,4.5,-8.3833,115.5500,Pantai dengan spot snorkling lumba-lumba,0
Air Panas Sentosa,Sumatera Utara,Simalungun,Air Panas,4.0,2.7500,99.5000,Resort air panas dengan fasilitas lengkap,100000
Gunung Agung,Bali,Karangasem,Gunung,4.8,-8.2717,115.5069,Gunung tertinggi Bali dengan pemandangan laut,0
Candi Sari,Jawa Tengah,Sleman,Candi,4.4,-7.7583,110.5000,Candi Buddha dengan arsitektur istimewa,20000
Desa Wisata Pengubengan,Bali,Tabanan,Desa Wisata,4.3,-8.5500,115.0833,Desa tradisional dengan pertanian organik,0
Museum Layang-Layang,DKI Yogyakarta,Yogyakarta,Museum,4.2,-7.8000,110.4000,Museum koleksi layang-layang tradisional,15000
Pantai Sanur,Bali,Denpasar,Pantai,4.3,-8.6667,115.2333,Pantai tenang untuk aktivitas water sports,0
Gunung Penanggungan,Jawa Timur,Nganjuk,Gunung,4.3,-7.6500,111.9500,Gunung dengan jalur hiking populer,0
Taman Bunga Mawar,Jawa Barat,Sukabumi,Taman Hiburan,4.2,-6.9000,107.1667,Taman bunga mawar dengan koleksi lengkap,30000
Candi Pawon,Jawa Tengah,Magelang,Candi,4.5,-7.6150,110.2083,Candi Buddha dengan relief Buddha indah,25000
Museum Keramik,DKI Jakarta,Jakarta Selatan,Museum,4.0,-6.2500,106.8000,Museum koleksi keramik nusantara,15000
Pantai Cemara,Jawa Timur,Gresik,Pantai,4.1,-6.9667,112.6333,Pantai dengan pohon cemara laut,0
Air Terjun Lasem,Jawa Tengah,Rembang,Air Panas,4.2,-6.7200,111.2500,Air terjun dengan panorama alam indah,0
Desa Wisata Koka,Nusa Tenggara Timur,Ngada,Desa Wisata,4.4,-8.6500,121.2333,Desa tradisional dengan rumah adat kuno,0
Gunung Batur,Bali,Kintamani,Gunung,4.7,-8.2417,115.3750,Gunung dengan pemandangan sunrise spektakuler,0
Taman Laut Gili Meno,Nusa Tenggara Barat,Lombok Utara,Taman Laut,4.6,-8.3667,116.3500,Taman laut dengan turtle conservation,30000
